name,team,opponent,week,season,isHome,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
Davon Godchaux,NE,KC,15,2023,False,1,0,0,0,0,0,0
Joshua Uche,NE,KC,15,2023,False,1,0,0,0,0,0,0
Marte Mapu,NE,KC,15,2023,False,0,0,0,0,1,0,0
Marcus Peters,BAL,JAX,12,2022,True,8,6,0,1,0,0,0
Roquan Smith,BAL,JAX,12,2022,True,8,5,0,0,0,0,0
Chuck Clark,BAL,JAX,12,2022,True,7,4,0,0,0,0,0
Brandon Stephens,BAL,JAX,12,2022,True,6,6,0,0,0,0,0
Patrick Queen,BAL,JAX,12,2022,True,6,4,0,1,1,0,0
Marlon Humphrey,BAL,JAX,12,2022,True,6,3,1,2,0,1,0
Broderick Washington,BAL,JAX,12,2022,True,5,3,1,1,0,1,0
Geno Stone,BAL,JAX,12,2022,True,3,3,0,0,0,0,0
Calais Campbell,BAL,JAX,12,2022,True,3,2,1,0,0,3,0
Tyus Bowser,BAL,JAX,12,2022,True,3,2,1,1,0,1,0
Justin Madubuike,BAL,JAX,12,2022,True,2,1,0,0,0,0,0
Brent Urban,BAL,JAX,12,2022,True,1,1,0,0,0,0,0
Justin Houston,BAL,JAX,12,2022,True,1,0,0,0,0,0,0
Malik Harrison,BAL,JAX,12,2022,True,1,0,0,0,0,0,0
Travis Jones,BAL,JAX,12,2022,True,1,0,0,0,0,0,0
Foyesade Oluokun,JAX,BAL,12,2022,False,18,13,0,3,0,0,0
Chad Muma,JAX,BAL,12,2022,False,9,4,0,0,0,0,0
Andre Cisco,JAX,BAL,12,2022,False,7,6,0,0,2,0,0
Rayshawn Jenkins,JAX,BAL,12,2022,False,7,5,0,0,0,0,0
Josh Allen,JAX,BAL,12,2022,False,5,2,0,1,0,0,0
Darious Williams,JAX,BAL,12,2022,False,3,2,0,0,0,0,0
Devin Lloyd,JAX,BAL,12,2022,False,3,2,0,0,0,0,0
DaVon Hamilton,JAX,BAL,12,2022,False,3,1,1,1,0,1,0
Andrew Wingard,JAX,BAL,12,2022,False,3,1,0,0,0,0,0
Corey Peters,JAX,BAL,12,2022,False,2,1,0,1,0,0,0
Adam Gotsis,JAX,BAL,12,2022,False,2,1,0,0,0,0,0
Caleb Johnson,JAX,BAL,12,2022,False,2,0,0,0,0,0,0
Foley Fatukasi,JAX,BAL,12,2022,False,1,1,0,0,0,0,0
Chris Claybrooks,JAX,BAL,12,2022,False,1,1,0,0,0,0,0
Tyson Campbell,JAX,BAL,12,2022,False,1,1,0,0,0,0,0
Tevaughn Campbell,JAX,BAL,12,2022,False,1,1,0,0,0,0,0
Roy Robertson-Harris,JAX,BAL,12,2022,False,1,0,0,0,0,0,0
Tim Jones,JAX,BAL,12,2022,False,1,0,0,0,0,0,0
Travon Walker,JAX,BAL,12,2022,False,1,0,0,0,0,0,0
Dawuane Smoot,JAX,BAL,12,2022,False,0,0,0,0,0,1,0
Arden Key,JAX,BAL,12,2022,False,0,0,0,0,1,1,0
DeShon Elliott,DET,NYG,11,2022,True,8,8,0,0,0,1,0
Will Harris,DET,NYG,11,2022,True,8,5,0,0,0,0,0
Derrick Barnes,DET,NYG,11,2022,True,7,6,0,0,0,0,0
Jerry Jacobs,DET,NYG,11,2022,True,6,6,0,0,1,0,0
Alex Anzalone,DET,NYG,11,2022,True,5,2,0,0,0,2,0
Alim McNeill,DET,NYG,11,2022,True,4,3,1,3,0,3,0
Malcolm Rodriguez,DET,NYG,11,2022,True,4,3,0,0,0,0,0
John Cominsky,DET,NYG,11,2022,True,3,3,1,2,1,1,0
Jeff Okudah,DET,NYG,11,2022,True,3,3,0,0,0,0,0
Kerby Joseph,DET,NYG,11,2022,True,3,3,0,0,1,0,0
C.J. Moore,DET,NYG,11,2022,True,3,2,0,0,0,0,0
Mike Hughes,DET,NYG,11,2022,True,3,2,0,0,0,0,0
Aidan Hutchinson,DET,NYG,11,2022,True,3,1,0,0,1,0,0
Amani Oruwariye,DET,NYG,11,2022,True,2,2,0,0,0,0,0
Justin Jackson,DET,NYG,11,2022,True,2,0,0,0,0,0,0
Isaiah Buggs,DET,NYG,11,2022,True,2,0,0,0,0,1,0
Chris Board,DET,NYG,11,2022,True,1,1,0,0,0,0,0
Anthony Pittman,DET,NYG,11,2022,True,1,1,0,0,0,0,0
Austin Bryant,DET,NYG,11,2022,True,1,0,0,0,0,1,0
Benito Jones,DET,NYG,11,2022,True,0,0,0,0,0,1,0
Julian Love,NYG,DET,11,2022,False,8,5,0,1,1,0,0
Dexter Lawrence II,NYG,DET,11,2022,False,7,3,0,0,0,1,0
Micah McFadden,NYG,DET,11,2022,False,5,3,0,0,0,0,0
Jaylon Smith,NYG,DET,11,2022,False,5,1,0,0,0,0,0
Rodarius Williams,NYG,DET,11,2022,False,4,4,0,0,0,0,0
