name,team,opponent,week,season,isHome,FG,PCT,LONG,XP,PTS
Evan McPherson,CIN,BAL,11,2023,True,2/3,67.0,50,2/2,8
Justin Tucker,BAL,CIN,11,2023,False,2/2,100.0,47,4/4,10
Nick Folk,NE,ARI,14,2022,True,2/2,100.0,51,3/3,9
Matt Prater,ARI,NE,14,2022,False,2/3,67.0,33,1/1,7
Eddy Pineiro,CAR,TB,17,2022,True,1/1,100.0,49,3/3,6
Ryan Succop,TB,CAR,17,2022,False,1/3,33.0,22,1/2,4
Chase McLaughlin,CLE,BAL,12,2021,True,1/2,50.0,46,1/1,4
Justin Tucker,BAL,CLE,12,2021,False,3/3,100.0,52,1/1,10
Brandon Aubrey,DAL,SF,5,2023,True,1/1,100.0,50,1/1,4
Jake Moody,SF,DAL,5,2023,False,0/0,0.0,0,6/6,6
Matt Prater,ARI,MIN,8,2022,True,2/2,100.0,44,2/2,8
Greg Joseph,MIN,ARI,8,2022,False,0/1,0.0,0,4/5,4
Jason Sanders,MIA,BUF,4,2023,True,0/0,0.0,0,2/2,2
Tyler Bass,BUF,MIA,4,2023,False,2/2,100.0,53,6/6,12
Austin Seibert,DET,MIN,5,2021,True,3/3,100.0,52,0/0,9
Greg Joseph,MIN,DET,5,2021,False,4/5,80.0,55,1/1,13
Tristan Vizcaino,LAC,KC,3,2021,True,1/1,100.0,24,1/3,4
Harrison Butker,KC,LAC,3,2021,False,1/1,100.0,34,3/3,6
Nick Folk,NE,ATL,11,2021,True,4/4,100.0,53,1/2,13
Younghoe Koo,ATL,NE,11,2021,False,0/1,0.0,0,0/0,0
Younghoe Koo,ATL,NYG,3,2021,True,1/1,100.0,40,2/2,5
Graham Gano,NYG,ATL,3,2021,False,2/2,100.0,31,0/0,6
Chris Blewitt,WSH,GB,7,2021,True,1/2,50.0,45,1/1,4
Mason Crosby,GB,WSH,7,2021,False,1/2,50.0,39,3/3,6
Matt Prater,ARI,JAX,3,2021,True,1/2,50.0,34,4/4,7
Josh Lambo,JAX,ARI,3,2021,False,0/0,0.0,0,1/3,1
Brandon McManus,DEN,KC,17,2022,True,1/1,100.0,49,3/3,6
Harrison Butker,KC,DEN,17,2022,False,0/1,0.0,0,3/3,3
Jason Sanders,MIA,NYJ,5,2022,True,1/2,50.0,46,2/2,5
Greg Zuerlein,NYJ,MIA,5,2022,False,1/1,100.0,34,5/5,8
Jason Myers,SEA,CIN,6,2023,True,2/2,100.0,55,1/1,7
Evan McPherson,CIN,SEA,6,2023,False,1/1,100.0,52,2/2,5
