name,espnId,season,INT,TD,YDS
Josh Tupou,2979632,2022,0.0,0.0,0.0
Josh Tupou,2979632,2022,0.0,0.0,0.0
Josh Tupou,2979632,2022,0.0,0.0,0.0
Josh Tupou,2979632,2022,0.0,0.0,0.0
Josh Tupou,2979632,2022,0.0,0.0,0.0
Josh Tupou,2979632,2022,0.0,0.0,0.0
Josh Tupou,2979632,2022,0.0,0.0,0.0
Josh Tupou,2979632,2022,0.0,0.0,0.0
Josh Tupou,2979632,2022,0.0,0.0,0.0
Josh Tupou,2979632,2022,0.0,0.0,0.0
Josh Tupou,2979632,2022,0.0,0.0,0.0
Josh Tupou,2979632,2021,0.0,0.0,0.0
Josh Tupou,2979632,2021,0.0,0.0,0.0
Josh Tupou,2979632,2021,0.0,0.0,0.0
Josh Tupou,2979632,2021,0.0,0.0,0.0
Josh Tupou,2979632,2021,0.0,0.0,0.0
Josh Tupou,2979632,2021,0.0,0.0,0.0
Josh Tupou,2979632,2021,0.0,0.0,0.0
Josh Tupou,2979632,2021,0.0,0.0,0.0
Josh Tupou,2979632,2021,0.0,0.0,0.0
Josh Tupou,2979632,2021,0.0,0.0,0.0
Josh Tupou,2979632,2021,0.0,0.0,0.0
Josh Tupou,2979632,2021,0.0,0.0,0.0
Josh Tupou,2979632,2021,0.0,0.0,0.0
Randy Gregory,3040479,2023,0.0,0.0,0.0
Randy Gregory,3040479,2023,0.0,0.0,0.0
Randy Gregory,3040479,2023,0.0,0.0,0.0
Randy Gregory,3040479,2023,0.0,0.0,0.0
Randy Gregory,3040479,2023,0.0,0.0,0.0
Randy Gregory,3040479,2023,0.0,0.0,0.0
Randy Gregory,3040479,2023,0.0,0.0,0.0
Randy Gregory,3040479,2023,0.0,0.0,0.0
Randy Gregory,3040479,2023,0.0,0.0,0.0
Randy Gregory,3040479,2023,0.0,0.0,0.0
Randy Gregory,3040479,2023,0.0,0.0,0.0
Randy Gregory,3040479,2023,0.0,0.0,0.0
Randy Gregory,3040479,2023,0.0,0.0,0.0
Randy Gregory,3040479,2023,0.0,0.0,0.0
Randy Gregory,3040479,2023,0.0,0.0,0.0
Randy Gregory,3040479,2023,0.0,0.0,0.0
Randy Gregory,3040479,2022,0.0,0.0,0.0
Randy Gregory,3040479,2022,0.0,0.0,0.0
Randy Gregory,3040479,2022,0.0,0.0,0.0
Randy Gregory,3040479,2022,0.0,0.0,0.0
Randy Gregory,3040479,2022,0.0,0.0,0.0
Randy Gregory,3040479,2022,0.0,0.0,0.0
