name,team,opponent,week,season,isHome,INT,YDS,TD
Desmond King II,HOU,JAX,17,2022,False,1,1,0
Jalen Pitre,HOU,JAX,17,2022,False,1,0,0
Jourdan Lewis,DAL,NYG,15,2021,True,1,18,0
Malik Hooker,DAL,NYG,15,2021,True,1,0,0
Trevon Diggs,DAL,NYG,15,2021,True,1,0,0
Jabrill Peppers,NE,PIT,14,2023,True,1,32,0
Mykal Walker,PIT,NE,14,2023,False,1,30,0
Pat Surtain II,DEN,NYJ,5,2023,False,1,0,0
Marcus Jones,NE,ARI,14,2022,True,1,18,0
Isaiah Simmons,ARI,NE,14,2022,False,1,5,0
Sean Murphy-Bunting,TB,CAR,17,2022,False,1,0,0
Grant Delpit,CLE,BAL,12,2021,True,1,5,0
Denzel Ward,CLE,BAL,12,2021,True,1,4,0
John Johnson III,CLE,BAL,12,2021,True,1,0,0
Ronnie Harrison Jr.,CLE,BAL,12,2021,True,1,0,0
Tashaun Gipson Sr.,SF,DAL,5,2023,False,1,26,0
Fred Warner,SF,DAL,5,2023,False,1,12,0
Oren Burks,SF,DAL,5,2023,False,1,11,0
Harrison Smith,MIN,ARI,8,2022,False,1,15,0
Camryn Bynum,MIN,ARI,8,2022,False,1,12,0
Micah Hyde,BUF,MIA,4,2023,False,1,23,0
Alex Anzalone,DET,MIN,5,2021,True,1,0,0
Eric Kendricks,MIN,DET,5,2021,False,1,22,0
Alohi Gilman,LAC,KC,3,2021,True,1,0,0
Asante Samuel Jr.,LAC,KC,3,2021,True,1,0,0
Kyle Van Noy,NE,ATL,11,2021,True,1,35,1
J.C. Jackson,NE,ATL,11,2021,True,1,3,0
Devin McCourty,NE,ATL,11,2021,True,1,0,0
Adrian Phillips,NE,ATL,11,2021,True,1,0,0
A.J. Terrell,ATL,NE,11,2021,False,1,35,0
Chandon Sullivan,GB,WSH,7,2021,False,1,0,0
Byron Murphy Jr.,ARI,JAX,3,2021,True,2,36,1
Andrew Wingard,JAX,ARI,3,2021,False,1,23,0
Justin Simmons,DEN,KC,17,2022,True,1,0,0
L'Jarius Sneed,KC,DEN,17,2022,False,1,25,0
Sauce Gardner,NYJ,MIA,5,2022,False,1,3,0
Tre Brown,SEA,CIN,6,2023,True,1,0,0
Cam Taylor-Britt,CIN,SEA,6,2023,False,1,24,0
Mike Hilton,CIN,SEA,6,2023,False,1,0,0
Jordan Whitehead,TB,CAR,16,2021,True,1,7,0
Alohi Gilman,LAC,KC,18,2023,False,1,0,0
