,Name,Teams,Season,POS,GP,FGM,FGA,FG%,LNG,1-19,20-29,30-39,40-49,50+,XPM,XPA,XP%
148,Chris Boswell,PIT,2023,PK,17,29,31,93.5,57,0-0,9-9,7-7,7-8,6-7,27,28,96.4
149,Chase McLaughlin,TB,2023,PK,17,29,31,93.5,57,0-0,8-8,12-12,2-3,7-8,33,33,100.0
150,Matt Prater,ARI,2023,PK,17,28,33,84.8,62,0-0,6-6,7-8,6-7,9-12,22,23,95.7
151,Ka'imi Fairbairn,HOU,2023,PK,12,27,28,96.4,54,0-0,10-10,10-10,2-2,5-6,21,22,95.5
152,Anders Carlson,GB,2023,PK,17,27,33,81.8,53,0-0,6-6,14-14,4-8,3-5,34,39,87.2
153,Daniel Carlson,LV,2023,PK,17,26,30,86.7,54,0-0,10-10,6-7,9-10,1-3,32,32,100.0
154,Evan McPherson,CIN,2023,PK,17,26,31,83.9,56,0-0,5-5,6-6,8-8,7-12,40,40,100.0
155,Eddy Pineiro,CAR,2023,PK,15,25,29,86.2,56,0-0,6-6,7-7,7-9,5-7,17,20,85.0
156,Jason Sanders,MIA,2023,PK,17,24,28,85.7,57,0-0,6-6,7-7,6-8,5-7,58,59,98.3
157,Tyler Bass,BUF,2023,PK,17,24,29,82.8,54,0-0,4-4,12-13,4-6,4-6,49,50,98.0
158,Greg Joseph,MIN,2023,PK,17,24,30,80.0,54,1-1,7-7,9-9,3-6,4-7,36,38,94.7
159,Jake Moody,SF,2023,PK,17,21,25,84.0,57,0-0,7-7,8-9,4-6,2-3,60,61,98.4
160,Joey Slye,WSH,2023,PK,17,19,24,79.2,61,0-0,2-3,7-7,7-9,3-5,32,35,91.4
161,Brett Maher,LAR,2023,PK,8,17,23,73.9,54,0-0,3-3,4-4,7-9,3-7,13,15,86.7
162,Riley Patterson,CLE / DET,2023,PK,15,16,18,88.9,52,0-0,2-3,11-11,2-2,1-2,41,44,93.2
163,Chad Ryland,NE,2023,PK,17,16,25,64.0,56,0-0,4-4,5-7,5-10,2-4,24,25,96.0
164,Lucas Havrisik,LAR,2023,PK,9,15,20,75.0,52,0-0,8-8,3-3,2-6,2-3,19,22,86.4
165,Graham Gano,NYG,2023,PK,8,11,17,64.7,57,0-0,2-2,3-5,3-6,3-4,8,8,100.0
166,Matt Ammendola,HOU,2023,PK,5,6,9,66.7,45,0-0,2-2,3-3,1-2,0-2,10,11,90.9
167,Mason Crosby,NYG,2023,PK,3,5,7,71.4,52,0-0,2-2,2-2,0-1,1-2,6,7,85.7
168,Randy Bullock,NYG,2023,PK,6,5,6,83.3,56,0-0,0-0,2-2,2-3,1-1,10,10,100.0
169,Michael Badgley,DET,2023,PK,4,4,4,100.0,41,0-0,0-0,3-3,1-1,0-0,13,15,86.7
170,Dare Ogunbowale,HOU,2023,RB,12,1,1,100.0,29,0-0,1-1,0-0,0-0,0-0,0,0,0.0
171,Austin Seibert,NYJ,2023,PK,1,1,1,100.0,34,0-0,0-0,1-1,0-0,0-0,1,1,100.0
172,Jamie Gillan,NYG,2023,P,17,1,1,100.0,40,0-0,0-0,0-0,1-1,0-0,0,0,0.0
173,Thomas Morstead,NYJ,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
174,Johnny Hekker,CAR,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
175,Riley Dixon,DEN,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
176,Bradley Pinion,ATL,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
177,Kamu Grugier-Hill,CAR,2023,LB,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
178,Cameron Johnston,HOU,2023,P,13,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
179,Matthew Wright,CAR,2023,PK,1,0,1,0.0,0,0-0,0-0,0-0,0-0,0-1,0,0,0.0
180,Rigoberto Sanchez,IND,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
181,Tommy Townsend,KC,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
182,Jack Fox,DET,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
183,Jake Bailey,MIA,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
184,Mitch Wishnowsky,SF,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
185,Corey Bojorquez,CLE,2023,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
186,Trenton Gill,CHI,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
187,Bryce Baringer,NE,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
188,Jordan Stout,BAL,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
189,Ryan Wright,MIN,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
190,Jake Camarda,TB,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
191,Ty Zentner,HOU / TEN,2023,P,9,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
192,D'Anthony Bell,CLE,2023,S,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
193,Ethan Evans,LAR,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
