Name,PlayerID,Experience,Height,Weight,Position,Age,Team,TeamID,isFreeAgent,Headshot,espnID
Alexander Mattison,4048244,6,"5'11""",220,RB,25,LV,17,False,https://a.espncdn.com/i/headshots/nfl/players/full/4048244.png,4048244
Jaydon Grant,4042810,1,"6'0""",190,S,25,LV,17,False,https://a.espncdn.com/i/headshots/nfl/players/full/4042810.png,4042810
Sean Rhyan,4426411,3,"6'5""",321,G,23,GB,12,False,https://a.espncdn.com/i/headshots/nfl/players/full/4426411.png,4426411
Ali Gaye,4243321,1,"6'6""",265,DE,26,HOU,13,False,https://a.espncdn.com/i/headshots/nfl/players/full/4243321.png,4243321
Isiah Pacheco,4361529,3,"5'10""",216,RB,25,KC,16,False,https://a.espncdn.com/i/headshots/nfl/players/full/4361529.png,4361529
C.J. Johnson,4567458,R,"6'2""",222,WR,23,SEA,29,True,N/A,4567458
Justin Simmons,2969860,8,"6'2""",202,S,30,DEN,10,True,https://a.espncdn.com/i/headshots/nfl/players/full/2969860.png,2969860
Austin Jones,4569330,R,"5'10""",200,RB,,WSH,32,False,https://a.espncdn.com/i/headshots/college-football/players/full/4569330.png,4569330
Julius Welschof,4372098,R,"6'6""",265,LB,27,PIT,26,False,https://a.espncdn.com/i/headshots/college-football/players/full/4372098.png,4372098
Christian Ringo,2574023,5,"6'1""",298,DT,32,BAL,3,True,https://a.espncdn.com/i/headshots/nfl/players/full/2574023.png,2574023
Nick Whiteside II,5143915,R,"6'1""",200,CB,24,WSH,32,False,https://a.espncdn.com/i/headshots/nfl/players/full/5143915.png,5143915
Anthony Miller,3050487,6,"5'11""",190,WR,29,KC,16,True,https://a.espncdn.com/i/headshots/nfl/players/full/3050487.png,3050487
Big Kat Bryant,4242510,R,"6'4""",260,DE,25,MIA,20,True,https://a.espncdn.com/i/headshots/nfl/players/full/4242510.png,4242510
Trill Williams,4361942,3,"6'1""",202,CB,24,MIA,20,True,https://a.espncdn.com/i/headshots/nfl/players/full/4361942.png,4361942
Sean Ryan,4360972,1,"6'3""",200,WR,25,BAL,3,False,https://a.espncdn.com/i/headshots/nfl/players/full/4360972.png,4360972
Cade Otton,4243331,2,"6'5""",247,TE,25,TB,30,False,https://a.espncdn.com/i/headshots/nfl/players/full/4243331.png,4243331
Kristian Wilkerson,3910176,3,"6'1""",214,WR,27,LV,17,False,https://a.espncdn.com/i/headshots/nfl/players/full/3910176.png,3910176
Kenneth Murray Jr.,4241394,4,"6'2""",241,LB,25,TEN,31,False,https://a.espncdn.com/i/headshots/nfl/players/full/4241394.png,4241394
Tre'Vour Wallace-Simms,4035113,1,"6'5""",330,G,26,HOU,13,True,https://a.espncdn.com/i/headshots/nfl/players/full/4035113.png,4035113
Keytaon Thompson,4242243,R,"6'5""",216,WR,25,DET,11,True,N/A,4242243
Beau Brinkley,15355,10,"6'4""",237,LS,34,ATL,2,True,https://a.espncdn.com/i/headshots/nfl/players/full/15355.png,15355
Chris Reed,3163375,8,"6'3""",314,G,31,MIN,21,True,https://a.espncdn.com/i/headshots/nfl/players/full/3163375.png,3163375
Storey Jackson,4370933,R,"6'2""",235,LB,26,CLE,8,True,https://a.espncdn.com/i/headshots/nfl/players/full/4370933.png,4370933
Zeke Vandenburgh,4248036,2,"6'4""",232,LB,25,MIA,20,False,https://a.espncdn.com/i/headshots/nfl/players/full/4248036.png,4248036
