,Name,Teams,Season,POS,GP,RUSH,REC,RET,TD,FG,XP,2PT,PTS,PTS/G
756,Calvin Ridley,ATL,2021,WR,5,0,2,0,2,0,0,0,12,2.4
757,Jesper Horsted,CHI,2021,TE,7,0,2,0,2,0,0,0,12,1.7
758,Rasul Douglas,GB,2021,CB,12,0,0,2,2,0,0,0,12,1.0
759,Mecole Hardman,KC,2021,WR,17,0,2,0,2,0,0,0,12,0.7
760,Albert Okwuegbunam Jr.,DEN,2021,TE,14,0,2,0,2,0,0,0,12,0.9
761,Kene Nwangwu,MIN,2021,RB,11,0,0,2,2,0,0,0,12,1.1
762,Tyler Huntley,BAL,2021,QB,7,2,0,0,2,0,0,0,12,1.7
763,Demetric Felton Jr.,CLE,2021,RB,16,0,2,0,2,0,0,0,12,0.8
764,Khalil Herbert,CHI,2021,RB,17,2,0,0,2,0,0,0,12,0.7
765,Michael Gallup,DAL,2021,WR,9,0,2,0,2,0,0,0,12,1.3
766,Travis Homer,SEA,2021,RB,14,1,0,1,2,0,0,0,12,0.9
767,Devin Duvernay,BAL,2021,WR,16,0,2,0,2,0,0,0,12,0.8
768,Lil'Jordan Humphrey,NO,2021,WR,10,0,2,0,2,0,0,0,12,1.2
769,J.J. Taylor,NE,2021,RB,5,2,0,0,2,0,0,0,12,2.4
770,Trevon Diggs,DAL,2021,CB,16,0,0,2,2,0,0,0,12,0.8
771,Chris Evans,CIN,2021,RB,14,0,2,0,2,0,0,0,12,0.9
772,Chase Claypool,PIT,2021,WR,15,0,2,0,2,0,0,0,12,0.8
773,Ashton Dulin,IND,2021,WR,17,0,2,0,2,0,0,0,12,0.7
774,Cyril Grayson Jr.,TB,2021,WR,5,0,2,0,2,0,0,0,12,2.4
775,Ihmir Smith-Marsette,MIN,2021,WR,8,0,2,0,2,0,0,0,12,1.5
776,DeeJay Dallas,SEA,2021,RB,17,2,0,0,2,0,0,0,12,0.7
777,Henry Ruggs III,LV,2021,WR,7,0,2,0,2,0,0,0,12,1.7
778,Jalen Reagor,PHI,2021,WR,17,0,2,0,2,0,0,0,12,0.7
779,Brock Wright,DET,2021,TE,10,0,2,0,2,0,0,0,12,1.2
780,Trevor Lawrence,JAX,2021,QB,17,2,0,0,2,0,0,0,12,0.7
781,Jaret Patterson,WSH,2021,RB,17,2,0,0,2,0,0,0,12,0.7
782,Justin Fields,CHI,2021,QB,12,2,0,0,2,0,0,0,12,1.0
783,Jermar Jefferson,DET,2021,RB,7,2,0,0,2,0,0,0,12,1.7
784,Jody Fortson,KC,2021,TE,6,0,2,0,2,0,0,0,12,2.0
785,Dominik Eberle,HOU,2021,PK,1,0,0,0,0,2,5,0,11,11.0
786,Matt Ryan,ATL,2021,QB,17,1,0,0,1,0,0,1,8,0.5
787,Kyle Rudolph,NYG,2021,TE,16,0,1,0,1,0,0,1,8,0.5
788,Cole Beasley,BUF,2021,WR,16,0,1,0,1,0,0,1,8,0.5
789,Allen Robinson II,CHI,2021,WR,12,0,1,0,1,0,0,1,8,0.7
790,Taylor Heinicke,WSH,2021,QB,16,1,0,0,1,0,0,1,8,0.5
791,Dak Prescott,DAL,2021,QB,16,1,0,0,1,0,0,1,8,0.5
792,Damiere Byrd,CHI,2021,WR,17,0,1,0,1,0,0,1,8,0.5
793,Andy Janovich,CLE,2021,FB,13,1,0,0,1,0,0,1,8,0.6
794,Chris Blewitt,WSH,2021,PK,2,0,0,0,0,2,2,0,8,4.0
795,Quez Watkins,PHI,2021,WR,17,0,1,0,1,0,0,1,8,0.5
796,Trey Lance,SF,2021,QB,6,1,0,0,1,0,0,1,8,1.3
797,Ben Roethlisberger,PIT,2021,QB,16,1,0,0,1,0,0,0,6,0.4
798,Malcolm Jenkins,NO,2021,S,16,0,0,1,1,0,0,0,6,0.4
799,Andre Roberts,HOU / LAC,2021,WR,16,0,0,1,1,0,0,0,6,0.4
800,Patrick Peterson,MIN,2021,CB,13,0,0,1,1,0,0,0,6,0.5
801,Julio Jones,TEN,2021,WR,10,0,1,0,1,0,0,0,6,0.6
802,Lee Smith,ATL,2021,TE,16,0,1,0,1,0,0,0,6,0.4
803,Chris Hogan,NO,2021,WR,5,0,1,0,1,0,0,0,6,1.2
804,Kirk Cousins,MIN,2021,QB,16,1,0,0,1,0,0,0,6,0.4
805,Josh Gordon,KC,2021,WR,12,0,1,0,1,0,0,0,6,0.5
806,Tavon Austin,JAX,2021,WR,13,0,1,0,1,0,0,0,6,0.5
807,Lane Johnson,PHI,2021,OT,13,0,1,0,1,0,0,0,6,0.5
808,Mike Glennon,NYG,2021,QB,6,1,0,0,1,0,0,0,6,1.0
809,Marquise Goodwin,CHI,2021,WR,14,0,1,0,1,0,0,0,6,0.4
810,Tyrann Mathieu,KC,2021,S,16,0,0,1,1,0,0,0,6,0.4
811,Geno Smith,SEA,2021,QB,4,1,0,0,1,0,0,0,6,1.5
812,Micah Hyde,BUF,2021,S,17,0,0,1,1,0,0,0,6,0.4
813,Kenny Stills,NO,2021,WR,13,0,1,0,1,0,0,0,6,0.5
814,Jimmie Ward,SF,2021,S,16,0,0,1,1,0,0,0,6,0.4
815,Sammy Watkins,BAL,2021,WR,13,0,1,0,1,0,0,0,6,0.5
816,Kyle Van Noy,NE,2021,LB,16,0,0,1,1,0,0,0,6,0.4
817,Carlos Hyde,JAX,2021,RB,12,1,0,0,1,0,0,0,6,0.5
818,Jerick McKinnon,KC,2021,RB,13,0,1,0,1,0,0,0,6,0.5
819,DeMarcus Lawrence,DAL,2021,DE,7,0,0,1,1,0,0,0,6,0.9
820,James White,NE,2021,RB,3,1,0,0,1,0,0,0,6,2.0
821,Daniel Sorensen,KC,2021,S,17,0,0,1,1,0,0,0,6,0.4
822,Adrian Phillips,NE,2021,S,17,0,0,1,1,0,0,0,6,0.4
823,David Johnson,HOU,2021,RB,13,0,1,0,1,0,0,0,6,0.5
824,Trevor Siemian,NO,2021,QB,6,1,0,0,1,0,0,0,6,1.0
