,Name,Teams,Season,POS,GP,SOLO,AST,TOT,SACK YDS,YDS,TFL,PD,INT,INT YDS,LNG,TD,FF,FR,FTD
3307,Denzel Ward,CLE,2020,CB,12,38,8,46,0.0,0,1,18,2,0,0,0,1,0,0
3308,Cameron Dantzler Sr.,MIN,2020,CB,11,36,10,46,0.0,0,4,4,2,0,0,0,1,1,0
3309,Aaron Donald,LAR,2020,DT,16,27,18,45,13.5,86,20,1,0,0,0,0,4,1,0
3310,Stephon Tuitt,PIT,2020,DE,15,33,12,45,11.0,63,13,3,0,0,0,0,2,0,0
3311,Matt Milano,BUF,2020,LB,10,35,10,45,3.5,24,5,3,1,0,0,0,0,0,0
3312,William Jackson III,CIN,2020,CB,14,38,7,45,0.0,0,1,11,1,30,30,0,0,0,0
3313,Robert Spillane,PIT,2020,LB,12,39,6,45,2.0,15,4,4,1,33,33,1,0,1,0
3314,Montez Sweat,WSH,2020,DE,16,28,17,45,9.0,83,14,6,1,15,15,1,2,0,0
3315,Rock Ya-Sin,IND,2020,CB,13,36,9,45,0.0,0,0,7,1,0,0,0,1,0,0
3316,Mykal Walker,ATL,2020,LB,16,31,14,45,0.0,0,1,1,0,0,0,0,1,0,0
3317,Ndamukong Suh,TB,2020,DT,16,27,17,44,6.0,45,11,2,0,0,0,0,1,0,0
3318,William Gholston,TB,2020,DE,16,24,20,44,3.0,23,8,2,0,0,0,0,0,1,0
3319,Nickell Robey-Coleman,PHI,2020,CB,15,37,7,44,0.0,0,2,1,0,0,0,0,1,1,0
3320,Jaleel Johnson,MIN,2020,DT,16,22,22,44,1.5,8,4,0,0,0,0,0,0,0,0
3321,Brian Poole,NYJ,2020,CB,9,34,10,44,1.0,0,2,7,2,15,13,0,0,0,0
3322,Romeo Okwara,DET,2020,DE,16,32,12,44,10.0,79,14,1,0,0,0,0,3,1,0
3323,Jalen Ramsey,LAR,2020,CB,15,36,8,44,0.0,0,3,9,1,2,2,0,0,0,0
3324,Raven Greene,GB,2020,S,10,28,16,44,1.5,13,2,5,1,17,17,0,1,0,0
3325,Jimmy Moreland,WSH,2020,CB,16,33,11,44,0.5,2,2,1,1,32,32,0,1,0,0
3326,Ryan Neal,SEA,2020,S,13,33,11,44,0.0,0,4,5,2,1,1,0,0,0,0
3327,Ben Niemann,KC,2020,LB,15,29,15,44,1.0,8,4,0,0,0,0,0,1,2,0
3328,David Onyemata,NO,2020,DT,15,20,24,44,6.5,44,12,2,1,3,3,0,0,0,0
3329,Taylor Rapp,LAR,2020,S,9,32,12,44,0.0,0,0,3,1,0,0,0,1,0,0
3330,Malik Harrison,BAL,2020,LB,16,26,18,44,0.0,0,2,1,0,0,0,0,0,0,0
3331,Darious Williams,LAR,2020,CB,16,37,7,44,0.0,0,3,14,4,21,19,0,0,0,0
3332,Chase Young,WSH,2020,DE,15,32,12,44,7.5,34,13,4,0,0,0,0,4,3,1
3333,Jaylon Johnson,CHI,2020,CB,13,34,10,44,0.0,0,1,15,0,0,0,0,0,0,0
3334,Darian Thompson,DAL,2020,S,15,30,13,43,0.0,0,0,1,1,3,3,0,1,0,0
3335,Jason McCourty,NE,2020,CB,16,30,12,42,0.0,0,0,3,0,0,0,0,0,0,0
3336,Xavier Rhodes,IND,2020,CB,16,35,7,42,0.0,0,1,12,2,44,44,1,0,0,0
3337,Bryce Callahan,DEN,2020,CB,10,36,6,42,0.0,0,1,5,2,0,0,0,0,1,0
3338,Henry Anderson,NYJ,2020,DE,16,19,23,42,0.5,4,6,0,0,0,0,0,0,0,0
3339,Preston Smith,GB,2020,LB,16,29,13,42,4.0,24,8,3,0,0,0,0,0,1,1
3340,Emmanuel Ogbah,MIA,2020,DE,16,25,17,42,9.0,95,11,5,0,0,0,0,3,0,0
3341,Foley Fatukasi,NYJ,2020,DT,15,22,20,42,2.0,7,9,2,0,0,0,0,1,1,0
3342,Bradley Chubb,DEN,2020,LB,14,26,16,42,7.5,50,11,0,0,0,0,0,1,0,0
