,Name,Teams,Season,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
1198,Jesse James,DET,2020,TE,16,14,22,129,9.2,2,31,2,8.1,0,0,76,6
1199,Gus Edwards,BAL,2020,RB,16,9,13,129,14.3,0,34,3,8.1,0,0,95,4
1200,Dion Lewis,NYG,2020,RB,16,19,30,127,6.7,1,17,0,7.9,0,0,83,8
1201,Alexander Mattison,MIN,2020,RB,13,13,15,125,9.6,1,28,1,9.6,0,0,130,5
1202,Cam Akers,LAR,2020,RB,13,11,14,123,11.2,1,38,2,9.5,0,0,92,4
1203,Albert Okwuegbunam Jr.,DEN,2020,TE,4,11,15,121,11.0,1,27,1,30.3,0,0,72,6
1204,J.K. Dobbins,BAL,2020,RB,15,18,24,120,6.7,0,19,0,8.0,0,0,135,4
1205,Tyler Kroft,BUF,2020,TE,10,12,16,119,9.9,3,38,1,11.9,0,0,41,9
1206,Chris Hogan,NYJ,2020,WR,5,14,26,118,8.4,0,27,1,23.6,0,0,41,6
1207,Equanimeous St. Brown,GB,2020,WR,12,7,13,117,16.7,1,24,3,9.8,0,0,57,6
1208,Darrel Williams,KC,2020,RB,16,18,26,116,6.4,0,15,0,7.3,0,0,157,6
1209,Alshon Jeffery,PHI,2020,WR,7,6,13,115,19.2,1,39,3,16.4,0,0,26,5
1210,Derrick Henry,TEN,2020,RB,16,19,31,114,6.0,0,53,1,7.1,0,0,131,4
1211,Wayne Gallman,NYG,2020,RB,15,21,27,114,5.4,0,19,0,7.6,0,0,107,6
1212,Sony Michel,NE,2020,RB,9,7,9,114,16.3,1,31,2,12.7,0,0,148,5
1213,Jace Sternberger,GB,2020,TE,12,12,15,114,9.5,1,27,2,9.5,0,0,67,6
1214,Nick Boyle,BAL,2020,TE,9,14,17,113,8.1,2,21,1,12.6,0,0,46,8
1215,Kaden Smith,NYG,2020,TE,15,18,21,112,6.2,0,16,0,7.5,0,0,92,8
1216,DeeJay Dallas,SEA,2020,RB,12,17,20,111,6.5,1,13,0,9.3,0,0,113,5
1217,Blake Bell,DAL,2020,TE,16,11,15,110,10.0,0,24,1,6.9,0,0,47,7
1218,Alec Ingold,LV,2020,FB,16,12,17,110,9.2,1,23,2,6.9,0,0,89,9
1219,Marcedes Lewis,GB,2020,TE,15,10,17,107,10.7,3,36,1,7.1,0,0,56,6
1220,Stephen Anderson,LAC,2020,TE,16,8,11,106,13.3,0,23,1,6.6,0,0,80,7
1221,Quez Watkins,PHI,2020,WR,6,7,13,106,15.1,1,43,2,17.7,0,0,58,4
1222,Jordan Wilkins,IND,2020,RB,15,12,16,105,8.8,0,24,2,7.0,0,0,145,3
1223,Maxx Williams,ARI,2020,TE,9,8,10,102,12.8,1,42,2,11.3,0,0,66,4
1224,Adrian Peterson,DET,2020,RB,16,12,18,101,8.4,0,23,1,6.3,0,0,102,4
1225,LeSean McCoy,TB,2020,RB,10,15,19,101,6.7,0,15,0,10.1,0,0,102,3
1226,C.J. Board,NYG,2020,WR,14,11,16,101,9.2,0,16,0,7.2,0,0,29,6
1227,Cameron Batson,TEN,2020,WR,12,12,13,100,8.3,1,18,0,8.3,0,0,43,7
1228,Vance McDonald,PIT,2020,TE,14,15,20,99,6.6,0,15,0,7.1,0,0,79,4
1229,Ty Johnson,DET / NYJ,2020,RB,13,16,21,99,6.2,1,18,0,7.6,0,0,129,6
1230,Taysom Hill,NO,2020,QB,16,8,12,98,12.3,1,21,2,6.1,0,0,36,4
1231,C.J. Ham,MIN,2020,FB,15,8,13,97,12.1,1,30,1,6.5,0,0,76,6
1232,Matt Breida,MIA,2020,RB,12,9,10,96,10.7,0,31,2,8.0,0,0,101,5
1233,Nick Vannett,DEN,2020,TE,15,14,21,95,6.8,1,19,0,6.3,0,0,61,6
1234,Zack Moss,BUF,2020,RB,13,14,18,95,6.8,1,20,1,7.3,0,0,92,5
1235,Justin Watson,TB,2020,WR,11,7,11,94,13.4,0,36,1,8.5,0,0,21,5
1236,Carlos Hyde,SEA,2020,RB,10,16,20,93,5.8,0,18,0,9.3,1,0,109,4
1237,Darrell Daniels,ARI,2020,TE,12,8,11,92,11.5,1,31,2,7.7,0,0,58,4
1238,Malcolm Perry,MIA,2020,RB,9,9,13,92,10.2,1,25,1,10.2,0,0,33,4
1239,Austin Mack,NYG,2020,WR,11,7,11,91,13.0,0,50,1,8.3,0,0,40,5
1240,Travis Homer,SEA,2020,RB,9,9,10,90,10.0,1,50,1,10.0,0,0,92,4
1241,Frank Gore,NYJ,2020,RB,15,16,19,89,5.6,0,9,0,5.9,0,0,73,3
1242,Jamal Agnew,DET,2020,WR,14,13,20,89,6.8,0,20,1,6.4,0,0,102,4
1243,C.J. Uzomah,CIN,2020,TE,2,8,11,87,10.9,1,23,1,43.5,0,0,31,6
1244,Ryan Griffin,NYJ,2020,TE,15,9,12,86,9.6,0,23,1,5.7,0,0,50,4
1245,Trent Taylor,SF,2020,WR,12,10,21,86,8.6,0,29,2,7.2,0,0,47,5
1246,J.J. Arcega-Whiteside,PHI,2020,WR,8,4,8,85,21.3,0,37,2,10.6,0,0,9,4
1247,Tyler Ervin,GB,2020,RB,8,11,15,84,7.6,0,24,1,10.5,0,0,89,6
1248,Devontae Booker,LV,2020,RB,16,17,21,84,4.9,0,17,0,5.3,0,0,82,2
1249,Geoff Swaim,TEN,2020,TE,10,9,12,83,9.2,1,16,0,8.3,0,0,35,6
1250,Royce Freeman,DEN,2020,RB,16,12,13,81,6.8,0,28,1,5.1,0,0,66,4
1251,Troy Fumagalli,DEN,2020,TE,8,8,15,80,10.0,1,29,1,10.0,0,0,61,6
1252,DeMichael Harris,IND,2020,WR,7,10,10,79,7.9,0,21,1,11.3,0,0,62,3
1253,Ray-Ray McCloud III,PIT,2020,WR,16,20,22,77,3.8,0,13,0,4.8,0,0,124,3
1254,Dante Pettis,SF / NYG,2020,WR,7,4,6,76,19.0,1,33,2,10.9,0,0,6,3
1255,Ito Smith,ATL,2020,RB,14,17,26,75,4.4,0,17,0,5.4,1,0,87,3
1256,Pharoh Cooper,CAR,2020,WR,16,5,8,73,14.6,0,32,1,4.6,0,0,37,3
1257,KJ Hill Jr.,LAC,2020,WR,15,7,11,73,10.4,0,25,1,4.9,0,0,20,2
1258,Parris Campbell,IND,2020,WR,2,6,9,71,11.8,0,21,1,35.5,0,0,21,4
1259,Jason Witten,LV,2020,TE,16,13,17,69,5.3,2,15,0,4.3,0,0,19,8
1260,Brandon Powell,ATL,2020,WR,15,12,18,69,5.8,2,13,0,4.6,1,1,32,5
1261,Patrick Laird,MIA,2020,RB,16,10,12,68,6.8,0,17,0,4.3,0,0,44,3
1262,Ryan Nall,CHI,2020,FB,16,8,9,67,8.4,1,18,0,4.2,0,0,54,5
1263,Samaje Perine,CIN,2020,RB,16,11,12,66,6.0,0,15,0,4.1,0,0,92,4
1264,Courtland Sutton,DEN,2020,WR,1,3,6,66,22.0,0,45,2,66.0,0,0,6,2
1265,Malik Taylor,GB,2020,WR,15,5,6,66,13.2,1,26,2,4.4,0,0,47,4
1266,Darwin Thompson,KC,2020,RB,14,7,11,65,9.3,1,37,1,4.6,1,0,88,3
1267,Luke Stocker,ATL,2020,TE,16,7,11,63,9.0,0,25,1,3.9,0,0,55,4
1268,Damion Ratley,NYG,2020,WR,5,4,10,63,15.8,0,29,1,12.6,1,0,11,2
1269,La'Mical Perine,NYJ,2020,RB,10,11,15,63,5.7,0,14,0,6.3,0,0,67,3
1270,Tyrie Cleveland,DEN,2020,WR,10,6,9,63,10.5,0,17,0,6.3,0,0,20,4
1271,Nick Keizer,KC,2020,TE,16,6,9,63,10.5,0,22,1,3.9,1,1,42,2
1272,Gunner Olszewski,NE,2020,WR,13,5,5,62,12.4,1,38,1,4.8,0,0,35,3
1273,Benny Snell Jr.,PIT,2020,RB,16,10,14,61,6.1,0,14,0,3.8,0,0,93,3
1274,Salvon Ahmed,MIA,2020,RB,6,11,14,61,5.5,0,13,0,10.2,0,0,73,2
1275,Steven Mitchell Jr.,HOU,2020,WR,6,5,8,60,12.0,0,20,1,10.0,0,0,9,3
1276,Ja'Marcus Bradley,CLE,2020,WR,3,5,11,60,12.0,0,22,1,20.0,0,0,9,2
1277,Saquon Barkley,NYG,2020,RB,2,6,9,60,10.0,0,38,1,30.0,0,0,55,3
1278,Keith Smith,ATL,2020,FB,16,11,15,59,5.4,0,13,0,3.7,0,0,43,4
1279,Rodney Smith,CAR,2020,RB,7,9,11,59,6.6,0,12,0,8.4,0,0,46,1
1280,Devonta Freeman,NYG,2020,RB,5,7,10,58,8.3,0,18,0,11.6,0,0,68,3
1281,Ameer Abdullah,MIN,2020,RB,16,8,9,58,7.3,2,22,1,3.6,0,0,51,4
1282,Jaydon Mickens,TB,2020,WR,10,7,10,58,8.3,0,11,0,5.8,0,0,31,6
1283,Jeremy McNichols,TEN,2020,RB,16,12,17,55,4.6,0,9,0,3.4,0,0,51,0
1284,Dare Ogunbowale,JAX,2020,RB,14,10,20,54,5.4,0,12,0,3.9,0,0,62,4
1285,Anthony McFarland Jr.,PIT,2020,RB,11,6,10,54,9.0,0,17,0,4.9,0,0,49,1
1286,Cethan Carter,CIN,2020,TE,15,5,7,53,10.6,0,24,2,3.5,0,0,9,3
